"","Age","Education2003Revision","Race","MaritalStatus","Sex","Cases","Percentage"
"1",9,1,1,"S","M",1,0.00262405206119289
"2",9,1,2,"S","F",1,0.00262405206119289
"3",9,1,2,"S","M",1,0.00262405206119289
"4",10,1,1,"S","M",2,0.00524810412238579
"5",10,1,2,"S","M",4,0.0104962082447716
"6",10,1,3,"S","M",1,0.00262405206119289
"7",10,2,2,"S","M",1,0.00262405206119289
"8",11,1,1,"S","F",6,0.0157443123671574
"9",11,1,1,"S","M",17,0.0446088850402792
"10",11,1,2,"S","F",1,0.00262405206119289
"11",11,1,2,"S","M",8,0.0209924164895432
"12",11,1,3,"S","F",1,0.00262405206119289
"13",11,1,7,"S","M",1,0.00262405206119289
"14",12,1,1,"S","F",15,0.0393607809178934
"15",12,1,1,"S","M",29,0.0760975097745939
"16",12,1,2,"S","F",6,0.0157443123671574
"17",12,1,2,"S","M",6,0.0157443123671574
"18",12,1,3,"S","F",2,0.00524810412238579
"19",12,1,78,"S","M",1,0.00262405206119289
"20",13,1,1,"S","F",45,0.11808234275368
"21",13,1,1,"S","M",50,0.131202603059645
"22",13,1,2,"S","F",2,0.00524810412238579
"23",13,1,2,"S","M",7,0.0183683644283503
"24",13,1,3,"S","F",2,0.00524810412238579
"25",13,1,3,"S","M",1,0.00262405206119289
"26",13,1,4,"S","F",1,0.00262405206119289
"27",13,1,7,"S","F",1,0.00262405206119289
"28",13,1,18,"S","F",1,0.00262405206119289
"29",13,1,78,"S","M",1,0.00262405206119289
"30",13,2,1,"S","F",1,0.00262405206119289
"31",13,2,1,"S","M",1,0.00262405206119289
"32",14,1,1,"S","F",19,0.049856989162665
"33",14,1,1,"S","M",55,0.144322863365609
"34",14,1,2,"S","F",2,0.00524810412238579
"35",14,1,2,"S","M",5,0.0131202603059645
"36",14,1,3,"S","F",2,0.00524810412238579
"37",14,1,3,"S","M",2,0.00524810412238579
"38",14,1,28,"S","F",1,0.00262405206119289
"39",14,2,1,"S","F",23,0.0603531974074366
"40",14,2,1,"S","M",40,0.104962082447716
"41",14,2,2,"S","F",2,0.00524810412238579
"42",14,2,2,"S","M",4,0.0104962082447716
"43",14,2,3,"S","F",1,0.00262405206119289
"44",14,2,4,"S","M",1,0.00262405206119289
"45",14,2,7,"S","M",1,0.00262405206119289
"46",15,1,1,"S","F",7,0.0183683644283503
"47",15,1,1,"S","M",17,0.0446088850402792
"48",15,1,2,"S","M",2,0.00524810412238579
"49",15,1,3,"S","F",2,0.00524810412238579
"50",15,1,3,"S","M",1,0.00262405206119289
"51",15,1,18,"S","M",1,0.00262405206119289
"52",15,1,68,"S","M",1,0.00262405206119289
"53",15,2,1,"S","F",52,0.13645070718203
"54",15,2,1,"S","M",113,0.296517882914797
"55",15,2,2,"S","F",6,0.0157443123671574
"56",15,2,2,"S","M",9,0.023616468550736
"57",15,2,3,"S","F",5,0.0131202603059645
"58",15,2,7,"S","M",1,0.00262405206119289
"59",15,2,18,"S","F",1,0.00262405206119289
"60",15,2,48,"S","F",1,0.00262405206119289
"61",16,1,1,"S","F",1,0.00262405206119289
"62",16,1,1,"S","M",2,0.00524810412238579
"63",16,1,2,"S","M",2,0.00524810412238579
"64",16,2,1,"S","F",66,0.173187436038731
"65",16,2,1,"S","M",174,0.456585058647564
"66",16,2,2,"S","F",4,0.0104962082447716
"67",16,2,2,"S","M",16,0.0419848329790863
"68",16,2,3,"S","F",3,0.00787215618357868
