Age,Education2003Revision,Race,MaritalStatus,Sex,Cases,Cases2
15-17,1,1,D,F,0,12789
18-19,1,1,D,F,0,8891
20-24,1,1,D,F,0,22697
25-29,1,1,D,F,1,22273
30-34,1,1,D,F,0,21855
35-44,1,1,D,F,9,43735
45-54,1,1,D,F,0,51077
55-64,1,1,D,F,0,47564
65-74,1,1,D,F,0,31690
75-84,1,1,D,F,0,19541
85-102,1,1,D,F,0,10207
15-17,1,2,D,F,0,3085
18-19,1,2,D,F,0,2245
20-24,1,2,D,F,0,5631
25-29,1,2,D,F,0,4963
30-34,1,2,D,F,0,4826
35-44,1,2,D,F,0,9268
45-54,1,2,D,F,1,9727
55-64,1,2,D,F,0,7784
65-74,1,2,D,F,0,4262
75-84,1,2,D,F,0,2299
85-102,1,2,D,F,0,1007
15-17,1,3,D,F,0,206
18-19,1,3,D,F,0,145
20-24,1,3,D,F,0,354
25-29,1,3,D,F,1,311
30-34,1,3,D,F,0,298
35-44,1,3,D,F,0,574
45-54,1,3,D,F,0,597
55-64,1,3,D,F,0,473
65-74,1,3,D,F,0,243
75-84,1,3,D,F,0,109
85-102,1,3,D,F,0,38
15-17,1,4,D,F,0,426
18-19,1,4,D,F,0,322
20-24,1,4,D,F,0,909
25-29,1,4,D,F,0,1066
30-34,1,4,D,F,0,1121
35-44,1,4,D,F,0,2186
45-54,1,4,D,F,0,1826
55-64,1,4,D,F,0,1483
65-74,1,4,D,F,0,838
75-84,1,4,D,F,0,436
85-102,1,4,D,F,0,174
15-17,1,6,D,F,0,25
18-19,1,6,D,F,0,19
20-24,1,6,D,F,0,49
25-29,1,6,D,F,0,51
30-34,1,6,D,F,0,46
35-44,1,6,D,F,0,78
45-54,1,6,D,F,0,68
55-64,1,6,D,F,0,49
65-74,1,6,D,F,0,25
75-84,1,6,D,F,0,11
85-102,1,6,D,F,0,3
15-17,2,1,D,F,0,19320
18-19,2,1,D,F,0,13432
20-24,2,1,D,F,1,34286
25-29,2,1,D,F,5,33643
30-34,2,1,D,F,12,33003
35-44,2,1,D,F,43,66039
45-54,2,1,D,F,0,77160
55-64,2,1,D,F,0,71851
65-74,2,1,D,F,0,47873
75-84,2,1,D,F,0,29520
85-102,2,1,D,F,0,15419
15-17,2,2,D,F,0,4660
18-19,2,2,D,F,0,3391
20-24,2,2,D,F,0,8507
25-29,2,2,D,F,0,7498
30-34,2,2,D,F,0,7290
35-44,2,2,D,F,0,14000
45-54,2,2,D,F,0,14695
55-64,2,2,D,F,0,11759
65-74,2,2,D,F,1,6437
75-84,2,2,D,F,0,3473
85-102,2,2,D,F,0,1521
